377
12
|
Class1|Class2|Class3|Class4|Class5|Class6|Class7|Class8|Class9|Class10|Class11|Class12|Class|Orig_Format|Duplicate_Format|Duplicate|RGB/BW|FileName|Orig_ImgFileName|Tensmeyer_Nb
0.12|0.06|0.0|0.02|0.01|0.05|0.24|0.05|0.04|0.22|0.17|0.02|NA-script|JPG|D-jpg|Y2|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_118_0002_jpg.bmp|FRAD021_15_H_118_0002.jpg|170
0.01|0.21|0.0|0.0|0.0|0.02|0.27|0.04|0.0|0.01|0.43|0.0|NA-script|TIF|D-tif|Y2|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_118_0002_tif.bmp|FRAD021_15_H_118_0002.tif|269
0.01|0.84|0.0|0.0|0.0|0.01|0.02|0.01|0.0|0.01|0.09|0.0|NA-1278|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_118_0004_tif.bmp|FRAD021_15_H_118_0004.tif|137
0.01|0.66|0.0|0.0|0.01|0.02|0.02|0.01|0.01|0.01|0.24|0.0|NA-1278|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_118_0006_tif.bmp|FRAD021_15_H_118_0006.tif|336
0.01|0.62|0.0|0.0|0.01|0.08|0.02|0.01|0.03|0.0|0.2|0.0|NA-1278|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_118_0008_tif.bmp|FRAD021_15_H_118_0008.tif|260
0.16|0.04|0.01|0.01|0.02|0.03|0.27|0.06|0.05|0.16|0.14|0.05|Script-3c|JPG|D-jpg|Y3|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_118_0010_jpg.bmp|FRAD021_15_H_118_0010.jpg|148
0.02|0.38|0.0|0.0|0.01|0.03|0.12|0.07|0.02|0.01|0.33|0.01|Script-3c|TIF|D-tif|Y3|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_118_0010_tif.bmp|FRAD021_15_H_118_0010.tif|139
0.01|0.41|0.0|0.0|0.01|0.04|0.04|0.09|0.02|0.01|0.37|0.01|Script-3-add|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_118_0012_tif.bmp|FRAD021_15_H_118_0012.tif|155
0.01|0.3|0.0|0.0|0.01|0.02|0.05|0.07|0.01|0.0|0.52|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_118_0014_tif.bmp|FRAD021_15_H_118_0014.tif|176
0.02|0.24|0.0|0.01|0.01|0.01|0.3|0.03|0.02|0.01|0.36|0.01|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_119_0002_tif.bmp|FRAD021_15_H_119_0002.tif|95
0.07|0.07|0.0|0.02|0.02|0.04|0.36|0.03|0.09|0.12|0.16|0.02|Script-add|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_120_0002_jpg.bmp|FRAD021_15_H_120_0002.jpg|147
0.0|0.65|0.0|0.0|0.0|0.01|0.05|0.0|0.0|0.0|0.3|0.0|Script-2a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_120_0004_tif.bmp|FRAD021_15_H_120_0004.tif|42
0.12|0.07|0.02|0.02|0.0|0.07|0.23|0.08|0.02|0.12|0.22|0.02|Script-2b|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_120_0006_tif.bmp|FRAD021_15_H_120_0006.tif|186
0.19|0.05|0.0|0.01|0.0|0.04|0.19|0.08|0.03|0.17|0.21|0.02|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_120_0008_jpg.bmp|FRAD021_15_H_120_0008.jpg|248
0.04|0.22|0.0|0.0|0.03|0.01|0.11|0.06|0.01|0.01|0.5|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_120_0010_tif.bmp|FRAD021_15_H_120_0010.tif|280
0.38|0.04|0.01|0.01|0.01|0.01|0.32|0.03|0.02|0.05|0.09|0.03|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_120_0012_jpg.bmp|FRAD021_15_H_120_0012.jpg|98
0.07|0.1|0.0|0.02|0.01|0.1|0.22|0.1|0.07|0.17|0.14|0.01|Script-2b|JPG|D-jpg|Y4|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_130_0002_jpg.bmp|FRAD021_15_H_130_0002.jpg|116
0.0|0.31|0.0|0.0|0.0|0.04|0.3|0.04|0.01|0.01|0.28|0.0|Script-2b|TIF|D-tif|Y4|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_130_0002_tif.bmp|FRAD021_15_H_130_0002.tif|322
0.08|0.09|0.0|0.01|0.01|0.1|0.21|0.11|0.06|0.16|0.15|0.01|Script-2b|JPG|D-jpg|Y5|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_130_0004_jpg.bmp|FRAD021_15_H_130_0004.jpg|7
0.0|0.23|0.0|0.0|0.0|0.04|0.4|0.03|0.01|0.01|0.28|0.0|Script-2b|TIF|D-tif|Y5|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_130_0004_tif.bmp|FRAD021_15_H_130_0004.tif|359
0.01|0.61|0.0|0.01|0.01|0.02|0.05|0.11|0.01|0.02|0.15|0.0|Script-2a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_130_0006_tif.bmp|FRAD021_15_H_130_0006.tif|141
0.13|0.06|0.0|0.0|0.0|0.02|0.17|0.03|0.01|0.04|0.53|0.0|NA|JPG|D-jpg|Y6|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_130_0008_jpg.bmp|FRAD021_15_H_130_0008.jpg|52
0.0|0.22|0.05|0.0|0.02|0.01|0.07|0.0|0.15|0.0|0.47|0.0|NA|TIF|D-tif|Y6|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_130_0008_tif.bmp|FRAD021_15_H_130_0008.tif|110
0.07|0.48|0.0|0.01|0.0|0.01|0.18|0.03|0.02|0.03|0.17|0.0|Script-2b|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_135_0002_tif.bmp|FRAD021_15_H_135_0002.tif|166
0.03|0.4|0.0|0.01|0.01|0.05|0.11|0.18|0.02|0.01|0.18|0.0|Script-0|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_136_0003_tif.bmp|FRAD021_15_H_136_0003.tif|30
0.03|0.11|0.21|0.01|0.11|0.06|0.16|0.02|0.07|0.01|0.2|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_139_0003_tif.bmp|FRAD021_15_H_139_0003.tif|201
0.01|0.59|0.0|0.01|0.01|0.02|0.09|0.1|0.01|0.01|0.15|0.01|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_148_0002_tif.bmp|FRAD021_15_H_148_0002.tif|373
0.1|0.1|0.0|0.02|0.02|0.06|0.32|0.07|0.05|0.09|0.15|0.02|Script-2-add|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_148_0004_jpg.bmp|FRAD021_15_H_148_0004.jpg|11
0.0|0.73|0.0|0.0|0.0|0.05|0.03|0.0|0.02|0.0|0.17|0.0|Script-3b|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_148_0006_tif.bmp|FRAD021_15_H_148_0006.tif|178
0.5|0.01|0.01|0.01|0.01|0.0|0.33|0.0|0.02|0.05|0.04|0.03|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_148_0008_jpg.bmp|FRAD021_15_H_148_0008.jpg|324
0.29|0.04|0.02|0.01|0.05|0.02|0.16|0.05|0.06|0.09|0.11|0.1|Script-3a|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_148_0010_jpg.bmp|FRAD021_15_H_148_0010.jpg|121
0.0|0.74|0.01|0.0|0.0|0.01|0.04|0.02|0.0|0.0|0.19|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_148_0012_tif.bmp|FRAD021_15_H_148_0012.tif|243
0.01|0.57|0.0|0.0|0.0|0.02|0.06|0.03|0.01|0.0|0.3|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_148_0014_tif.bmp|FRAD021_15_H_148_0014.tif|163
0.38|0.02|0.02|0.01|0.01|0.01|0.25|0.02|0.02|0.07|0.16|0.03|Script-Chir1|JPG|D-jpg|Y7|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_148_0016_jpg.bmp|FRAD021_15_H_148_0016.jpg|213
0.05|0.04|0.02|0.0|0.21|0.01|0.18|0.09|0.01|0.01|0.37|0.0|Script-Chir1|TIF|D-tif|Y7|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_148_0016_tif.bmp|FRAD021_15_H_148_0016.tif|129
0.29|0.05|0.02|0.01|0.01|0.02|0.23|0.05|0.02|0.07|0.2|0.02|Script-Chir1|JPG|D-jpg|Y8|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_148_0018_jpg.bmp|FRAD021_15_H_148_0018.jpg|267
0.03|0.19|0.01|0.0|0.16|0.02|0.07|0.28|0.02|0.01|0.22|0.0|Script-Chir1|TIF|D-tif|Y8|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_148_0018_tif.bmp|FRAD021_15_H_148_0018.tif|73
0.0|0.41|0.0|0.0|0.0|0.01|0.31|0.0|0.01|0.0|0.26|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_156_0002_tif.bmp|FRAD021_15_H_156_0002.tif|334
0.01|0.55|0.0|0.0|0.0|0.07|0.09|0.2|0.01|0.01|0.05|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_156_0006_tif.bmp|FRAD021_15_H_156_0006.tif|142
0.03|0.21|0.0|0.0|0.0|0.05|0.14|0.19|0.01|0.02|0.33|0.0|Script-0|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_156_0008_tif.bmp|FRAD021_15_H_156_0008.tif|149
0.05|0.26|0.0|0.01|0.0|0.06|0.1|0.19|0.01|0.03|0.29|0.0|Script-add|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_156_0010_tif.bmp|FRAD021_15_H_156_0010.tif|346
0.13|0.07|0.0|0.01|0.02|0.04|0.25|0.11|0.06|0.09|0.18|0.02|Script-3-add|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_156_0012_jpg.bmp|FRAD021_15_H_156_0012.jpg|251
0.01|0.79|0.0|0.0|0.0|0.01|0.05|0.11|0.0|0.0|0.02|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0004_tif.bmp|FRAD021_15_H_163_0004.tif|96
0.01|0.7|0.0|0.01|0.01|0.01|0.12|0.06|0.01|0.01|0.09|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0006_tif.bmp|FRAD021_15_H_163_0006.tif|370
0.01|0.73|0.0|0.0|0.0|0.02|0.07|0.12|0.0|0.0|0.03|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0008_tif.bmp|FRAD021_15_H_163_0008.tif|355
0.02|0.31|0.0|0.02|0.0|0.02|0.19|0.1|0.02|0.01|0.31|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0010_tif.bmp|FRAD021_15_H_163_0010.tif|362
0.0|0.68|0.0|0.0|0.0|0.01|0.06|0.03|0.01|0.01|0.19|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0012_tif.bmp|FRAD021_15_H_163_0012.tif|301
0.01|0.46|0.0|0.0|0.0|0.01|0.12|0.01|0.0|0.0|0.39|0.0|Script-2a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0014_tif.bmp|FRAD021_15_H_163_0014.tif|315
0.03|0.33|0.0|0.0|0.0|0.06|0.17|0.09|0.02|0.01|0.27|0.0|Script-2b|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0016_tif.bmp|FRAD021_15_H_163_0016.tif|188
0.0|0.13|0.0|0.0|0.0|0.01|0.3|0.0|0.0|0.0|0.56|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0018_tif.bmp|FRAD021_15_H_163_0018.tif|140
0.0|0.78|0.0|0.0|0.0|0.0|0.09|0.0|0.0|0.0|0.12|0.0|Script-2b|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0020_tif.bmp|FRAD021_15_H_163_0020.tif|132
0.01|0.39|0.0|0.01|0.01|0.01|0.05|0.03|0.03|0.01|0.43|0.01|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0022_tif.bmp|FRAD021_15_H_163_0022.tif|270
0.0|0.71|0.0|0.0|0.0|0.0|0.02|0.02|0.0|0.0|0.24|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0024_tif.bmp|FRAD021_15_H_163_0024.tif|51
0.4|0.03|0.03|0.02|0.03|0.01|0.21|0.02|0.02|0.07|0.15|0.03|Script-3a|JPG|D-jpg|Y9|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0026_jpg.bmp|FRAD021_15_H_163_0026.jpg|231
0.02|0.19|0.01|0.02|0.11|0.05|0.04|0.1|0.04|0.0|0.41|0.0|Script-3a|TIF|D-tif|Y9|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0026_tif.bmp|FRAD021_15_H_163_0026.tif|321
0.14|0.08|0.0|0.01|0.01|0.08|0.24|0.15|0.05|0.13|0.08|0.03|Script-3a|JPG|D-jpg|Y10|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0028_jpg.bmp|FRAD021_15_H_163_0028.jpg|1
0.0|0.89|0.0|0.0|0.0|0.01|0.03|0.02|0.0|0.0|0.04|0.0|Script-3a|TIF|D-tif|Y10|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0028_tif.bmp|FRAD021_15_H_163_0028.tif|162
0.0|0.36|0.0|0.0|0.0|0.04|0.1|0.03|0.01|0.0|0.46|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0030_tif.bmp|FRAD021_15_H_163_0030.tif|342
0.0|0.39|0.02|0.0|0.15|0.15|0.01|0.07|0.02|0.0|0.19|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0032_tif.bmp|FRAD021_15_H_163_0032.tif|351
0.01|0.06|0.06|0.0|0.01|0.01|0.42|0.0|0.03|0.0|0.4|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0034_tif.bmp|FRAD021_15_H_163_0034.tif|19
0.01|0.8|0.0|0.0|0.0|0.01|0.07|0.02|0.01|0.0|0.08|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0036_tif.bmp|FRAD021_15_H_163_0036.tif|255
0.01|0.4|0.03|0.0|0.02|0.02|0.15|0.04|0.02|0.02|0.28|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0042_tif.bmp|FRAD021_15_H_163_0042.tif|256
0.0|0.27|0.0|0.0|0.0|0.15|0.01|0.02|0.25|0.0|0.3|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0044_tif.bmp|FRAD021_15_H_163_0044.tif|60
0.0|0.61|0.0|0.01|0.02|0.05|0.04|0.17|0.06|0.01|0.03|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0048_tif.bmp|FRAD021_15_H_163_0048.tif|350
0.0|0.77|0.0|0.0|0.01|0.02|0.05|0.04|0.01|0.01|0.09|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0050_tif.bmp|FRAD021_15_H_163_0050.tif|156
0.01|0.78|0.0|0.0|0.0|0.01|0.02|0.0|0.0|0.0|0.18|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0053_tif.bmp|FRAD021_15_H_163_0053.tif|59
0.0|0.77|0.01|0.0|0.05|0.03|0.02|0.08|0.01|0.0|0.04|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0055_tif.bmp|FRAD021_15_H_163_0055.tif|36
0.0|0.42|0.0|0.02|0.01|0.07|0.06|0.05|0.11|0.0|0.25|0.0|Script-3c|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0075_tif.bmp|FRAD021_15_H_163_0075.tif|173
0.0|0.84|0.0|0.0|0.0|0.03|0.01|0.01|0.01|0.0|0.1|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_163_0078_tif.bmp|FRAD021_15_H_163_0078.tif|17
0.07|0.24|0.03|0.0|0.0|0.02|0.28|0.08|0.01|0.03|0.21|0.02|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_17_0003_tif.bmp|FRAD021_15_H_17_0003.tif|165
0.01|0.36|0.0|0.0|0.05|0.02|0.05|0.09|0.01|0.01|0.39|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_179_0002_tif.bmp|FRAD021_15_H_179_0002.tif|194
0.03|0.42|0.02|0.0|0.05|0.04|0.08|0.04|0.04|0.01|0.27|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_179_0004_tif.bmp|FRAD021_15_H_179_0004.tif|227
0.0|0.53|0.0|0.0|0.0|0.06|0.08|0.04|0.03|0.0|0.25|0.0|Script-2b|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_181_0002_tif.bmp|FRAD021_15_H_181_0002.tif|150
0.0|0.29|0.04|0.0|0.07|0.01|0.11|0.02|0.01|0.0|0.44|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_181_0004_tif.bmp|FRAD021_15_H_181_0004.tif|37
0.29|0.04|0.01|0.02|0.02|0.02|0.28|0.03|0.06|0.07|0.14|0.04|Script-3c|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_181_0006_jpg.bmp|FRAD021_15_H_181_0006.jpg|123
0.0|0.86|0.0|0.0|0.0|0.01|0.02|0.03|0.0|0.0|0.08|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_181_0008_tif.bmp|FRAD021_15_H_181_0008.tif|131
0.02|0.48|0.0|0.0|0.0|0.02|0.18|0.06|0.01|0.0|0.21|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_183_0002_tif.bmp|FRAD021_15_H_183_0002.tif|189
0.32|0.03|0.0|0.01|0.01|0.04|0.21|0.06|0.04|0.12|0.14|0.01|Script-2b|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_185_0003_jpg.bmp|FRAD021_15_H_185_0003.jpg|40
0.03|0.62|0.0|0.0|0.01|0.03|0.1|0.06|0.02|0.0|0.12|0.0|Script-3c|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_190_0004_tif.bmp|FRAD021_15_H_190_0004.tif|294
0.11|0.08|0.0|0.01|0.01|0.09|0.23|0.12|0.07|0.11|0.13|0.03|Script-3a|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_190_0012_jpg.bmp|FRAD021_15_H_190_0012.jpg|190
0.0|0.64|0.0|0.01|0.0|0.02|0.14|0.06|0.02|0.02|0.09|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_190_0018_tif.bmp|FRAD021_15_H_190_0018.tif|313
0.0|0.67|0.0|0.01|0.01|0.02|0.1|0.06|0.01|0.01|0.11|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_190_0020_tif.bmp|FRAD021_15_H_190_0020.tif|138
0.01|0.55|0.0|0.04|0.01|0.03|0.05|0.21|0.01|0.0|0.08|0.01|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_190_0022_tif.bmp|FRAD021_15_H_190_0022.tif|265
0.43|0.02|0.01|0.01|0.02|0.01|0.24|0.01|0.03|0.05|0.14|0.03|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_190_0024_jpg.bmp|FRAD021_15_H_190_0024.jpg|67
0.33|0.07|0.0|0.01|0.01|0.02|0.22|0.04|0.04|0.07|0.17|0.03|Script-3a|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_190_0026_jpg.bmp|FRAD021_15_H_190_0026.jpg|174
0.01|0.17|0.0|0.0|0.01|0.02|0.04|0.03|0.04|0.0|0.67|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_190_0026_tif.bmp|FRAD021_15_H_190_0026.tif|340
0.27|0.04|0.0|0.0|0.0|0.02|0.22|0.07|0.02|0.18|0.17|0.01|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_190_0036_jpg.bmp|FRAD021_15_H_190_0036.jpg|331
0.01|0.81|0.0|0.0|0.0|0.01|0.05|0.03|0.0|0.01|0.08|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_190_0052_tif.bmp|FRAD021_15_H_190_0052.tif|120
0.03|0.5|0.0|0.01|0.0|0.03|0.15|0.08|0.01|0.01|0.18|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0002_tif.bmp|FRAD021_15_H_193_0002.tif|333
0.01|0.77|0.0|0.0|0.0|0.01|0.05|0.08|0.0|0.01|0.06|0.0|Script-1|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0004_tif.bmp|FRAD021_15_H_193_0004.tif|5
0.23|0.05|0.0|0.01|0.02|0.03|0.23|0.08|0.05|0.16|0.11|0.03|Script-3a|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0006_jpg.bmp|FRAD021_15_H_193_0006.jpg|175
0.0|0.66|0.0|0.0|0.0|0.02|0.04|0.03|0.01|0.0|0.24|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0006_tif.bmp|FRAD021_15_H_193_0006.tif|71
0.0|0.59|0.0|0.0|0.06|0.14|0.01|0.01|0.01|0.0|0.19|0.0|Script-3b|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0008_tif.bmp|FRAD021_15_H_193_0008.tif|90
0.0|0.34|0.0|0.0|0.01|0.04|0.02|0.04|0.04|0.0|0.49|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0010_tif.bmp|FRAD021_15_H_193_0010.tif|323
0.26|0.16|0.0|0.01|0.01|0.03|0.26|0.1|0.02|0.03|0.1|0.02|Script-3c|JPG|D-jpg|Y11|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0012_jpg.bmp|FRAD021_15_H_193_0012.jpg|302
0.01|0.23|0.01|0.0|0.24|0.09|0.03|0.05|0.14|0.0|0.2|0.0|Script-3c|TIF|D-tif|Y11|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0012_tif.bmp|FRAD021_15_H_193_0012.tif|27
0.11|0.15|0.0|0.03|0.02|0.04|0.2|0.14|0.08|0.12|0.09|0.01|Script-3a|JPG|D-jpg|Y12|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0014_jpg.bmp|FRAD021_15_H_193_0014.jpg|203
0.0|0.79|0.01|0.01|0.02|0.03|0.03|0.03|0.03|0.01|0.04|0.0|Script-3a|TIF|D-tif|Y12|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0014_tif.bmp|FRAD021_15_H_193_0014.tif|335
0.16|0.08|0.0|0.02|0.02|0.05|0.2|0.13|0.07|0.15|0.1|0.02|NA|JPG|D-jpg|Y13|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_193_0016_jpg.bmp|FRAD021_15_H_193_0016.jpg|181
